"City","FAA","IATA","ICAO","Airport","Role","Enplanements"
"Bellingham","BLI","BLI","KBLI","Bellingham International Airport","P-N",515402
"Friday Harbor","FHR","FRD","KFHR","Friday Harbor Airport","P-N",11283
"Pasco","PSC","PSC","KPSC","Tri-Cities Airport","P-N",327008
"Port Angeles","CLM","CLM","KCLM","William R. Fairchild International Airport","P-N",8242
"Pullman / Moscow Idaho","PUW","PUW","KPUW","Pullman-Moscow Regional Airport","P-N",39134
"Seattle","BFI","BFI","KBFI","King County International Airport (Boeing Field)","P-N",185534
"Seattle / Tacoma (SeaTac)","SEA","SEA","KSEA","Seattle-Tacoma International Airport","P-L",15971676
"Spokane","GEG","GEG","KGEG","Spokane International Airport (Geiger Field)","P-S",1487913
"Walla Walla","ALW","ALW","KALW","Walla Walla Regional Airport","P-N",32139
"Wenatchee","EAT","EAT","KEAT","Pangborn Memorial Airport","P-N",50927
"Yakima","YKM","YKM","KYKM","Yakima Air Terminal (McAllister Field)","P-N",55902
"Charleston","CRW","CRW","KCRW","Yeager Airport","P-N",243793
"Clarksburg","CKB","CKB","KCKB","North Central West Virginia Airport (was Harrison-Marion Regional)","P-N [nb 17]",10344
"Huntington","HTS","HTS","KHTS","Tri-State Airport (Milton J. Ferguson Field)","P-N",83531
"Morgantown","MGW","MGW","KMGW","Morgantown Municipal Airport (Walter L. Bill Hart Field)","P-N [nb 18]",10630
"Appleton","ATW","ATW","KATW","Outagamie County Regional Airport","P-N",259340
"Eau Claire","EAU","EAU","KEAU","Chippewa Valley Regional Airport","P-N",18762
"Green Bay","GRB","GRB","KGRB","Austin Straubel International Airport","P-S",410348
"La Crosse","LSE","LSE","KLSE","La Crosse Municipal Airport","P-N",111462
"Madison","MSN","MSN","KMSN","Dane County Regional Airport (Truax Field)","P-S",728075
"Milwaukee","MKE","MKE","KMKE","General Mitchell International Airport","P-M",3861333
"Wausau","CWA","CWA","KCWA","Central Wisconsin Airport","P-N",154312
"Rhinelander","RHI","RHI","KRHI","Rhinelander-Oneida County Airport","P-N",26193
"Casper","CPR","CPR","KCPR","Casper/Natrona County International Airport","P-N",74167
"Cheyenne","CYS","CYS","KCYS","Cheyenne Regional Airport (Jerry Olson Field)","P-N",16697
"Cody","COD","COD","KCOD","Yellowstone Regional Airport","P-N",25863
"Gillette","GCC","GCC","KGCC","Gillette-Campbell County Airport","P-N",28232
"Jackson","JAC","JAC","KJAC","Jackson Hole Airport","P-N",305566
"Laramie","LAR","LAR","KLAR","Laramie Regional Airport","P-N",10371
"Riverton","RIW","RIW","KRIW","Riverton Regional Airport","P-N",17035
"Rock Springs","RKS","RKS","KRKS","Rock Springs – Sweetwater County Airport","P-N",25541
"Sheridan","SHR","SHR","KSHR","Sheridan County Airport","P-N",17710
"Pago Pago Tutuila","PPG","PPG","NSTU","Pago Pago International Airport","P-N",45206
"Agana / Tamuning","GUM","GUM","PGUM","Antonio B. Won Pat International Airport","P-S",1314725
"Obyan Saipan Island","GSN","SPN","PGSN","Saipan International Airport (Francisco C. Ada)","P-S",441013
"Rota Island","GRO","ROP","PGRO","Rota International Airport","P-N",27776
